Rank in 2020,Rank in 2019,Rank in 2018,3 year average rank,School name,Country,Audit year,Salary today (US$),Weighted salary (US$),Salary percentage increase,Value for money rank,Career progress rank,Aims achieved (%),Careers service rank,Employed at three months (%),Alumni recommend rank,Female faculty (%),Female students (%),Women on board (%),International faculty (%),International students (%),International board (%),International mobility rank,International course experience rank,Languages,Faculty with doctorates (%),FT research rank,CSR rank,,Value statement,No. of words,Clear,Realistic,Shorter,Easy to communicate,Easy to memorize,Easy to be explained,Focused,Unique,Decision Making guidance,Challenging,Mission Statements,,Customers,Products and Services,Markets,Technology,"Survival,  growth,  and profitability",Philosophy,Self-concept,Concern for public image,Concern for employees,Broad in scope,Less than 100 words in length,Less than 250 words in length,Inspiring,Socially responsible,Environmentally responsible,Reconciliatory,Enduring,Core values,No. of words,web source,
74,73,82,76,University of Pittsburgh: Katz,US,2020,"116,559","116,559",139,36,95,88,67,91 (100),97,32,29,19,23,42,12,56,86,0,89,55,11,,Our aspiration is to be a recognized global leader in the creation and sharing of business knowledge and skills that generate lasting societal value.,24,Y,Y,Y,Y,Y,Y,Y,N,N,N,to produce knowledge through research on issues relevant to business and society; prepare students to create business value through thought leadership and practice; and promote global dialogue on economic and entrepreneurial activities that improve society.,35,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,"Candor and Transparency,  which ensure effective communication. Initiative,  which empowers us to take action and perform to the highest standards. Integrity,  which will be demonstrated in our actions and decisions. Collaboration and Compassion,  which emphasize respect and sharing,  and magnify our teamwork Innovation,  which allows us to envision the future and drive change; and Continuous Improvement,  which will be woven into the fabric of what we do.",67,"https://cba.pitt.edu/why-pitt-business/mission-of-pitt-business/#:~:text=Katz%20Graduate%20School%20of%20Business, economic%20and%20entrepreneurial%20activities%20that",
76,83,83,81,University of Rochester: Simon,US,2016,"128,405","128,405",140,49,36,86,82,91 (95),92,20,42,7,37,43,13,34,82,0,75,69,98,,"As a part of the University of Rochester community,  our character is defined by “Meliora”: a relentless endeavor to be ever better in the ideas we bring to the world,  in the opportunities we offer our students,  and in our commitment to inclusiveness.",43,Y,Y,N,Y,Y,Y,N,N,N,N,"To develop business leaders who have an exceptional level of clarity about business and about themselves. We achieve this through research and teaching focused on analytics and economics,  and by being home to a tight-knit community that is among the most diverse of any business school.",46,Y,Y,N,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Seek clarity. Invest in relationships. Embrace diversity. Make an impact.,10,"https://simon.rochester.edu/why-simon/mission-vision-principles#:~:text=Our%20Mission, diverse%20of%20any%20business%20school",
77,-,84,-,University of Connecticut School of Business,US,2018,"134,093","134,093",114,20,70,88,65,70 (98),100,28,34,28,32,55,0,52,99,0,83,61,46,,"To be a sustainable business school at a public research university,  recognized nationally for innovative research and teaching excellence,  and recognized locally for student and faculty engagement with business and community partners. Our longstanding traditions provide the foundation to achieve this vision,  and our strategic plan delineates our goals for achieving continuous improvement on each element of it.",57,Y,Y,N,Y,N,Y,Y,Y,Y,Y,"As part of a research-focused public university,  the UConn School of Business has a mandate to engage our faculty,  staff,  students,  alumni,  and community partners in activities to transform lives and the surrounding world,  including:

Educating the next generation of business professionals
Discovering the next generation of business insights
Attracting the next generation of business talent
Supporting the next generation of Connecticut businesses
In fulfilling this broad mandate,  we emphasize activities that feature innovative thinking and community engagement.",73,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,"1. Treat everyone with respect. Praise in public; criticism in private (in person,  constructive).
2. Be bold but responsible with risk — learning and leading require experimentation and sometimes failure. Try to make new mistakes.
3. Support a culture of reporting at all levels. If you know something wrong and don’t report it through our channels,  then the University knew and did nothing. And that’s not acceptable to any of us.4. Assume goodwill.5. Foster all forms of diversity,  including intellectual.6. Embrace dissent.7. Practice consultative and transparent decision making.8. Strive to do the right thing,  especially when it’s hard. In deciding right vs. right,  be guided by our highest values (truth,  excellence,  fairness,  and respect) and our Mission (benefitting students,  then the state and society at large).",124,https://www.business.uconn.edu/about/,
78,81,85,81,University of Minnesota: Carlson,US,2019,"133,274","133,274",93,58,65,89,23,88 (100),69,28,38,30,23,18,16,92,74,0,79,20,47,,,0,,,,,,,,,,,"The University of Minnesota (University),  founded in the belief that all people are enriched by understanding,  is dedicated to the advancement of learning and the search for truth; to the sharing of this knowledge through education for a diverse community; and to the application of this knowledge to benefit the people of the state,  the nation,  and the world.",59,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,,0,https://regents.umn.edu/sites/regents.umn.edu/files/2019-09/policy_mission_statement.pdf,
79,80,99,86,EMLyon Business School,France,2015,"96,290","96,290",81,35,40,85,70,91 (97),80,36,42,38,56,88,85,17,12,0,100,83,17,,,0,,,,,,,,,,,"We develop people’s skills for them to achieve personal and professional fulfilment throughout their lives,  by being influential within responsible,  competitive organisations,  wherever they are in the world. That means providing courses that are customisable in time and space,  and harnessing our ability to connect ecosystems.",41,Y,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,N,,0,https://www.em-lyon.com/en/Early-Makers/Folder/Our-mission-employability,
80,61,66,69,Melbourne Business School,Australia,2016,"115,679","115,679",74,7,72,89,29,79 (100),55,29,33,19,72,75,25,25,48,0,96,77,64,,"We unleash ideas and leaders for a sustainable future.
This purpose informs how we teach emerging leaders,  who measure success by the impact they have on the people around them and the broader community.

Our hope is that these leaders will create and protect economic growth,  social equality,  shared prosperity and environmental resources for the benefit of all.

We turn to this purpose,  as well as our Guiding Principles,  when making important decisions about how we do business.",75,N,Y,N,Y,N,Y,N,Y,Y,Y,,0,,,,,,,,,,,,,,,,,,"Be Respectful

Act with Integrity

Be Accountable

Strive for Excellence
 
Promote Diversity

Work Collaboratively

Encourage Experimentation
",11,https://mbs.edu/about-us,
81,96,93,90,University of Texas at Dallas: Jindal,US,2018,"111,606","111,606",104,23,100,90,78,92 (100),93,27,48,13,49,36,6,47,98,0,81,17,63,,,0,,,,,,,,,,,"The Jindal School of Management’s mission is to meet the challenges of a rapidly changing,  technology-driven,  global society by partnering with the business community to: 1)Conduct research enhancing management knowledge 2)Deliver high-quality management education to a diverse group of undergraduate and graduate students and practicing executives 3)Develop,  innovate and continuously improve programs advancing management education and practice.",57,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,,0,https://jindal.utdallas.edu/about-the-jindal-school-of-management/,
81,79,88,83,ESMT Berlin,Germany,2016,"116,933","116,933",64,12,91,87,83,80 (94),72,14,27,25,68,92,50,4,59,1,100,74,15,, ,0,,,,,,,,,,,"From the heart of Europe,  we create and impart new knowledge to advance business and society. We develop entrepreneurial leaders who think globally and act responsibly.",26,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,"Community,  curiosity,  courage,  and rigor",5,https://esmt.berlin/about,
83,78,68,76,Brigham Young University: Marriott,US,2020,"134,907","135,649",136,5,68,88,62,93 (100),45,11,21,8,1,12,2,98,96,0,89,63,30,,,0,,,,,,,,,,,"Attract,  develop,  place,  and continue to engage men and women of faith,  character,  and professional ability who will become outstanding leaders and positively influence a world we wish to improve.",30,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,,0,https://marriottschool.byu.edu/our-story/mission/,
84,86,80,83,The Lisbon MBA Católica | Nova,Portugal,2019,"105,394","105,394",74,42,39,85,77,91 (100),82,37,29,40,31,55,0,22,1,0,100,88,78,,,0,,,,,,,,,,,To make a positive impact in business and society. ,9,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,,0,https://thelisbonmba.com/,
85,75,55,72,Purdue University: Krannert,US,2015,"119,908","119,908",117,56,86,86,63,77 (98),77,22,24,28,36,57,3,41,80,0,90,46,99,,To be globally recognized and at the forefront of innovation in higher education for empowering students and creating a seamless transition for all.,23,Y,Y,Y,Y,Y,Y,Y,N,N,Y,"To introduce and connect all new undergraduate students to Purdue University through student and staff led academic and social programming,  both on campus and virtual,  in order to prepare them for their Purdue experience.

",34,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,,0,https://www.purdue.edu/orientation/about/report.html ,
86,99,-,-,Texas A & M University: Mays,US,2020,"132,598","132,598",110,10,82,85,92,85 (98),54,31,33,15,20,15,0,76,100,0,78,34,79,,"Mays Business School’s vision is to advance the world’s prosperity. To advance the world’s prosperity means providing a better future for generations who follow,  including quality of life,  environment and economic systems.",32,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,to be a vibrant learning organization that creat impactful knowledge and devoleps transformational leaders ,14,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,"Mays students are committed to Texas A&M’s core values of excellence,  integrity,  leadership,  loyalty,  respect and selfless service. These values serve as a platform from which students can launch into their careers and continually return to these basics that help them succeed not only professionally but also personally.",48,https://mays.tamu.edu/10-reasons-why-you-should-step-up-to-a-mays-bba/ https://mays.tamu.edu/mission-statement/,
87,94,90,90,Western University: Ivey,Canada,2018,"109,750","109,390",85,47,56,88,41,89 (95),39,24,33,19,55,50,26,77,54,0,99,57,26,,,0,,,,,,,,,,,"To develop business leaders who think globally,  act strategically,  and contribute to the societies in which they operate.",18,N,N,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,"Ivey is committed to making a meaningful difference in addressing discrimination,  racism,  and inequality. For details of on our renewed commitment,  including actions and how to get involve",28,https://www.ivey.uwo.ca/about/life-at-ivey/mission-values/,
88,70,63,74,AGSM at UNSW Business School,Australia,2016,"106,393","106,393",62,65,92,85,80,78 (85),61,39,51,50,80,87,50,6,22,0,96,68,52,,,0,,,,,,,,,,,"Our mission is to be a globally engaged,  high impact and academically rigorous business school that enhances practice through leading edge research.",22,N,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,,0,https://www.business.unsw.edu.au/about/business-school/strategy,
88,93,96,92,Essec Business School,France,2018,"109,854","109,854",58,41,47,87,68,74 (51),57,35,68,50,58,98,75,19,13,0,99,85,22,,,0,,,,,,,,,,,"The mission of ESSEC Business School,  a world school with French roots,  is to infuse leadership with meaning in order to prepare leaders ready to address contemporary economic,  environmental and social challenges. In order to do so,  it produces innovative and relevant knowledge to equip the next generation of leaders with the skills,  know-how and savoir-être that will make them truly responsible,  inclusive and respectful of the environment. Convinced that knowledge provides a path to freedom - Per scientiam ad libertatem - ESSEC inculcates in its students critical thinking and creativity skills that prepare them to anticipate and address the challenges of an increasingly uncertain world. ESSEC supports students in making their actions both meaningful and impactful by relying on both technology and people. It also seeks to enlighten the actions of businesses and organizations in a world transformed by the new industrial revolution,  the environmental crisis,  a new world balance and other major societal changes.",156,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,"The ESSEC emblem,  bearing the motto “Per scientiam ad libertatem, ”  reflects the quest for excellence,  the power of knowledge,  and the willingness to take risks – values that are fundamental to the ESSEC community.This is also the core of ESSEC’s educational model: to give our students an ever greater independence through the dissemination of knowledge.",56,https://www.essec.edu/en/pages/about-essec/values/mission/,
88,-,75,-,Edhec Business School,France,2017,"104,737","104,737",70,28,63,85,52,92 (91),90,32,33,43,58,94,87,29,18,0,95,95,34,,"in an ever-changing world,  managers must become true entrepreneurs who are prepared to rip the rulebook apart. Giving tomorrow’s leaders the knowledge,  the mind-set and the agility to invent new paths are at the heart of our vision. And we believe this litheness starts by developing students’ soft skills. More than a school that trains in business,  EDHEC is an ecosystem that innovates by stimulating an entrepreneurial spirit,  a springboard towards a better future that prioritizes people.",77,N,Y,N,Y,N,N,Y,N,Y,Y,"We have a long-standing commitment to a culture that fosters creativity,  risk-taking,  continuous improvement,  leadership and entrepreneurial spirit,  both in our pedagogy and in our research.",26,,,,,,,,,,,,,,,,,,"INNOVATION

ENGAGEMENT
We educate people and carry out research that aim to develop both scientific and human competencies,  preparing accomplished business leaders with excellent soft skills,  whose commitment to the good of society and respect for our planet will qualify them as world citizens.


IMPACT
Through our unusual model,  the content of our programmes and the value of our research,  at EDHEC we nurture our differences,  encouraging students and teachers to think outside the box and foster their leadership qualities.",76,https://www.edhec.edu/en/why-edhec#ourvision,
91,87,78,85,McGill University: Desautels,Canada,2020,"104,581","104,581",78,87,87,89,97,85 (96),48,32,39,23,76,80,42,10,25,0,88,60,76,,What do we want to do at Desautels?Transform the way organizations function for economic and social value creation.,18,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,"What is our purpose? To make organizations better through: - An integrated,  worldly,  ethical and lifelong approach to educating current and future leaders; - Fostering rigorous,  insightful,  research and influential thought leadership;
-Dedication to economic and social value creation.",38,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,"What is important to us? We are committed to:
-Innovative learning;
-Excellence in research,  teaching and program delivery;
-Respect for individuals,  society and the environment;
-Diversity and inclusiveness in our people and our thinking;
-Collaboration within and outside our community;
-Integrity in all that we do.",40,https://www.mcgill.ca/desautels/about/desautels-strategic-plan-2025,
92,81,71,81,Wisconsin School of Business,US,2019,"130,443","130,443",98,32,96,89,60,90 (100),64,27,34,36,24,30,18,96,72,0,74,56,80,,"We will be a premier global business school,  shaping transformational leaders and resilient achievers.",14,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"We imagine,  create,  and lead the future of business by connecting and empowering a dynamic community of lifelong learners,  scholars,  and organizations.",22,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,"Relentless innovation:We embrace the creative process of generating new ideas. We are optimists who inspire others with our commitment and expertise.
Purposeful action :We are doers. We actively seek opportunities to transform good ideas into a meaningful action in ways that yield positive dividends for society.
Empathetic inclusivity:By respecting differences,  we become a stronger,  more effective organization. We seek out and welcome voices from all walks of life.
Impactful scholarship:We reward and support rigorous research,  pedagogical excellence,  and meaningful engagement with business and society.
Synergistic collaboration:As expressed in our “Together Forward” motto,  we are smarter,  more efficient,  and more capable together than we are as individuals. We believe in the power of mutually beneficial partnerships.
Unwavering integrity:We are transparent in our management practices,  always accountable to our stakeholders. Our graduates know the importance of ethics—driven by the best interests of their organizations and clients.",139,https://wsb.wisc.edu/about-us/mission-vision-values,
93,-,-,-,Miami Herbert Business School,US,2011,"114,000","114,000",112,83,80,85,89,81 (94),88,31,38,12,45,37,54,38,84,0,77,50,41,,,0,,,,,,,,,,,"To develop innovative ideas and principled leaders that transform global business and society. We are thought leaders that redefine business knowledge and practice in the broadest possible terms,  shape business scholarship and how business is conceived,  and to set the standard for business education.",44,N,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,"Achievement and purpose,  innovation and adaptability,  community and teamwork,  and integrity and responsibility",13,"https://www.bus.miami.edu/our-perspective/index.html#:~:text=Developing%20Global%20Leaders%20at%20the, transform%20global%20business%20and%20society.",https://www.bus.miami.edu/current-students/undergraduate/essentials/policies.html
94,85,86,88,University of Toronto: Rotman,Canada,2020,"99,163","99,360",72,100,88,85,93,83 (99),30,27,42,53,77,72,27,33,64,0,99,19,83,,,0,,,,,,,,,,,"To be a catalyst for positive change: rooted in transformative learning,  informed by original insight and inspired by the biggest challenges in business and society.",25,N,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,"Diversity,  excellence,  integrity,  respect.",4,https://www.rotman.utoronto.ca/Connect/AboutRotman/OurValues,
95,87,73,85,University of Edinburgh Business School,UK,2020,"107,332","107,332",68,31,24,80,74,71 (84),89,38,51,47,67,96,53,37,52,0,96,90,51,,To be recognised as a progressive and connected community for thought leadership on the international business stage.,17,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Developing effective and responsible leaders by creating insightful knowledge and inspiring minds in dialogue with the world around us.,19,N,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,"Visionary,  inspirational,  collaborative,  impactful,  sustainable.",5,https://www.business-school.ed.ac.uk/about/mission-vision-values,
96,-,-,-,University of California at San Diego: Rady,US,2015,"115,080","115,080",94,90,94,86,95,75 (89),83,18,40,25,47,40,11,53,75,0,97,28,68,,,0,,,,,,,,,,,"The Rady School of Management develops ethical and entrepreneurial leaders who make a positive impact in the world through innovation,  collaboration and knowledge.",23,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,"Innovation,  impact,  collaboration,  integrity and risk-taking.",6,https://rady.ucsd.edu/about/,
97,74,-,-,Macquarie Business School,Australia,2016,"120,091","120,091",83,72,51,79,98,93 (91),99,41,34,36,45,92,21,40,93,0,92,94,14,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,
98,-,-,-,City University of Hong Kong,China,2019,"91,611","91,611",159,44,38,78,84,100 (76),71,32,66,13,33,10,50,88,26,0,91,65,97,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,
99,89,94,94,University College Dublin: Smurfit,Ireland,2017,"107,795","107,795",68,17,41,85,96,86 (97),95,33,29,35,40,61,62,39,30,0,99,81,71,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,
100,-,-,-,University of Georgia: Terry,US,2017,"109,432","109,432",110,18,84,85,56,95 (100),87,30,16,20,25,32,0,73,71,0,83,53,93,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,
